"Category","Hombre","Mujer","Indeterminado"
"0-4",4624,4513,11
"5-9",3175,3073,11
"10-14",9003,21286,28
"15-19",20636,42407,95
"20-24",20565,12002,94
"25-29",20636,8395,72
"30-34",18459,5839,85
"35-39",15455,4229,70
"40-44",12198,2961,49
"45-49",9324,2109,23
"50-54",6565,1352,26
"55-59",4501,986,19
"60-64",3240,738,9
"65-69",2242,555,6
"70-74",1900,479,4
"75-79",1648,425,3
"MÁS DE 80",2123,618,6
"CIFRA SIN EDAD DE REFERENCIA",9045,4508,269
