entidad_a,momfalle_a,orgpoltt,orgpol1,orgpol2,orgpol3,orgpol4,orgpol5,orgpol6,orgpol7,orgpol8,orgpol9,orgpol10,orgpol11,orgpol12,orgpol13,orgpol14,orgpol15,orgpol16,orgpol17,orgpol18
20,2,41,37,4,21,2,4,1,11,0,NA,NA,0,1,0,0,1,0,NA,NA
20,3,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA
20,9,,,,,,,,,,,,,,,,,,,
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2,42,39,3,37,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0
21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,9,,,,,,,,,,,,,,,,,,,
22,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
22,2,4,4,0,3,0,0,0,0,0,0,0,NA,NA,0,0,0,0,1,0
22,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
22,9,,,,,,,,,,,,,,,,,,,
23,1,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
23,2,10,9,1,6,1,1,0,0,0,0,0,NA,NA,2,0,0,0,0,0
23,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
23,9,,,,,,,,,,,,,,,,,,,
24,1,NSS,NSS,NSS,NSS,NSS,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0
24,2,8,8,NSS,7,NSS,1,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0
24,3,29,27,2,27,2,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0
24,9,,,,,,,,,,,,,,,,,,,
25,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
25,2,4,4,0,1,0,0,0,3,0,0,0,NA,NA,0,0,0,0,0,0
25,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
25,9,,,,,,,,,,,,,,,,,,,
26,1,2,2,0,2,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
26,2,5,4,1,4,0,0,0,0,0,0,0,NA,NA,0,0,0,1,0,0
26,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
26,9,,,,,,,,,,,,,,,,,,,
27,1,1,0,1,0,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
27,2,97,87,10,70,6,12,3,2,1,NA,NA,NA,NA,0,0,3,0,0,0
27,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
27,9,,,,,,,,,,,,,,,,,,,
28,1,3,3,0,3,0,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0
28,2,44,40,4,32,1,NA,NA,0,0,NA,NA,NA,NA,0,0,8,3,0,0
28,3,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0
28,9,,,,,,,,,,,,,,,,,,,
29,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
29,2,18,18,0,11,0,0,0,5,0,0,0,NA,NA,2,0,0,0,0,0
29,3,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
29,9,,,,,,,,,,,,,,,,,,,
30,1,10,9,1,9,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
30,2,72,63,9,28,5,17,1,0,0,NA,NA,NA,NA,0,1,18,2,0,0
