entidad_a,orgapoli_b,orgapoli_c,sexostt,sexos1,sexos2
24,1,1,5,5,0
24,1,2,1,1,0
24,1,3,NA,NA,NA
24,1,4,0,0,0
24,1,5,NA,NA,NA
24,2,6,0,0,0
24,2,7,0,0,0
24,3,8,0,0,0
25,1,1,1,1,0
25,1,2,0,0,0
25,1,3,1,1,0
25,1,4,0,0,0
25,1,5,NA,NA,NA
25,2,6,0,0,0
25,2,7,0,0,0
25,3,8,0,0,0
26,1,1,4,4,0
26,1,2,0,0,0
26,1,3,0,0,0
26,1,4,0,0,0
26,1,5,NA,NA,NA
26,2,6,0,0,0
26,2,7,1,0,1
26,3,8,0,0,0
27,1,1,66,61,5
27,1,2,8,8,0
27,1,3,2,2,0
27,1,4,NA,NA,NA
27,1,5,NA,NA,NA
27,2,6,0,0,0
27,2,7,3,3,0
27,3,8,0,0,0
28,1,1,7,7,0
28,1,2,NA,NA,NA
28,1,3,0,0,0
28,1,4,NA,NA,NA
28,1,5,NA,NA,NA
28,2,6,0,0,0
28,2,7,5,4,1
28,3,8,0,0,0
29,1,1,10,10,0
29,1,2,0,0,0
29,1,3,4,4,0
29,1,4,0,0,0
29,1,5,NA,NA,NA
29,2,6,1,1,0
29,2,7,0,0,0
29,3,8,0,0,0
30,1,1,NSS,NSS,NSS
30,1,2,NSS,NSS,NSS
30,1,3,0,0,0
30,1,4,NA,NA,NA
30,1,5,NA,NA,NA
30,2,6,NSS,0,NSS
30,2,7,NSS,NSS,NSS
30,3,8,0,0,0
31,1,1,14,14,0
31,1,2,0,0,0
31,1,3,0,0,0
31,1,4,0,0,0
31,1,5,0,0,0
31,2,6,0,0,0
31,2,7,0,0,0
31,3,8,0,0,0
32,1,1,5,5,0
32,1,2,4,4,0
32,1,3,0,0,0
32,1,4,0,0,0
32,1,5,6,6,0
32,2,6,0,0,0
32,2,7,1,1,0
32,3,8,0,0,0
