entidad_a,rangedad_a,orgpoltt,orgpol1,orgpol2,orgpol3,orgpol4,orgpol5,orgpol6,orgpol7,orgpol8,orgpol9,orgpol10,orgpol11,orgpol12,orgpol13,orgpol14,orgpol15,orgpol16,orgpol17,orgpol18
7,3,1,0,1,0,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
7,4,1,1,0,1,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
7,5,5,5,0,3,0,0,0,1,0,0,0,NA,NA,1,0,0,0,0,0
7,6,8,7,1,5,1,0,0,2,0,0,0,NA,NA,0,0,0,0,0,0
7,7,4,4,0,0,0,1,0,1,0,0,0,NA,NA,0,0,2,0,0,0
7,8,15,15,0,10,0,2,0,2,0,0,0,NA,NA,0,0,1,0,0,0
7,9,12,12,0,7,0,2,0,3,0,0,0,NA,NA,0,0,0,0,0,0
7,10,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
7,99,,,,,,,,,,,,,,,,,,,
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,4,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,4,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5,5,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,99,,,,,,,,,,,,,,,,,,,
9,1,11,9,2,3,2,0,0,5,0,0,0,NA,NA,0,0,1,0,0,0
9,2,17,14,3,9,1,0,0,5,2,0,0,NA,NA,0,0,0,0,0,0
9,3,22,19,3,11,2,0,0,5,1,1,0,NA,NA,0,0,2,0,0,0
9,4,31,27,4,18,1,2,1,6,1,0,0,NA,NA,0,0,1,1,0,0
9,5,83,72,11,47,3,1,1,16,6,2,0,NA,NA,3,0,3,1,0,0
9,6,125,116,9,60,4,2,0,45,4,0,0,NA,NA,3,0,6,1,0,0
9,7,119,112,7,31,0,0,0,71,3,0,0,NA,NA,1,0,9,4,0,0
9,8,94,88,6,12,0,0,0,69,2,0,0,NA,NA,1,0,6,4,0,0
9,9,88,81,7,4,1,0,0,50,1,0,0,NA,NA,2,0,25,5,0,0
9,10,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0
9,99,,,,,,,,,,,,,,,,,,,
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
