entidad_a,orgapoli_b,orgapoli_c,sexostt,sexos1,sexos2
28,2,7,11,8,3
28,3,8,0,0,0
29,1,1,11,11,0
29,1,2,0,0,0
29,1,3,5,5,0
29,1,4,0,0,0
29,1,5,NA,NA,NA
29,2,6,2,2,0
29,2,7,0,0,0
29,3,8,0,0,0
30,1,1,43,37,6
30,1,2,18,17,1
30,1,3,0,0,0
30,1,4,NA,NA,NA
30,1,5,NA,NA,NA
30,2,6,1,0,1
30,2,7,20,18,2
30,3,8,0,0,0
31,1,1,22,22,0
31,1,2,0,0,0
31,1,3,0,0,0
31,1,4,0,0,0
31,1,5,0,0,0
31,2,6,0,0,0
31,2,7,6,5,1
31,3,8,0,0,0
32,1,1,9,9,0
32,1,2,4,4,0
32,1,3,0,0,0
32,1,4,0,0,0
32,1,5,6,6,0
32,2,6,0,0,0
32,2,7,1,1,0
32,3,8,0,0,0
