entidad_a,orgapoli_b,orgapoli_c,sexostt,sexos1,sexos2
1,1,1,NA,NA,NA
1,1,2,NA,NA,NA
1,1,3,NA,NA,NA
1,1,4,NA,NA,NA
1,1,5,NA,NA,NA
1,2,6,NA,NA,NA
1,2,7,NA,NA,NA
1,3,8,NA,NA,NA
2,1,1,NA,NA,NA
2,1,2,NA,NA,NA
2,1,3,NA,NA,NA
2,1,4,NA,NA,NA
2,1,5,NA,NA,NA
2,2,6,NA,NA,NA
2,2,7,NA,NA,NA
2,3,8,NA,NA,NA
3,1,1,NA,NA,NA
3,1,2,NA,NA,NA
3,1,3,NA,NA,NA
3,1,4,NA,NA,NA
3,1,5,NA,NA,NA
3,2,6,NA,NA,NA
3,2,7,NA,NA,NA
3,3,8,NA,NA,NA
4,1,1,NA,NA,NA
4,1,2,NA,NA,NA
4,1,3,NA,NA,NA
4,1,4,NA,NA,NA
4,1,5,NA,NA,NA
4,2,6,NA,NA,NA
4,2,7,NA,NA,NA
4,3,8,NA,NA,NA
5,1,1,NA,NA,NA
5,1,2,NA,NA,NA
5,1,3,NA,NA,NA
5,1,4,NA,NA,NA
5,1,5,NA,NA,NA
5,2,6,NA,NA,NA
5,2,7,NA,NA,NA
5,3,8,NA,NA,NA
6,1,1,NA,NA,NA
6,1,2,NA,NA,NA
6,1,3,NA,NA,NA
6,1,4,NA,NA,NA
6,1,5,NA,NA,NA
6,2,6,NA,NA,NA
6,2,7,NA,NA,NA
6,3,8,NA,NA,NA
7,1,1,NA,NA,NA
7,1,2,NA,NA,NA
7,1,3,NA,NA,NA
7,1,4,NA,NA,NA
7,1,5,NA,NA,NA
7,2,6,NA,NA,NA
7,2,7,NA,NA,NA
7,3,8,NA,NA,NA
8,1,1,NA,NA,NA
8,1,2,NA,NA,NA
8,1,3,NA,NA,NA
8,1,4,NA,NA,NA
8,1,5,NA,NA,NA
8,2,6,NA,NA,NA
8,2,7,NA,NA,NA
8,3,8,NA,NA,NA
9,1,1,NA,NA,NA
9,1,2,NA,NA,NA
9,1,3,NA,NA,NA
9,1,4,NA,NA,NA
9,1,5,NA,NA,NA
9,2,6,NA,NA,NA
9,2,7,NA,NA,NA
9,3,8,NA,NA,NA
10,1,1,NA,NA,NA
10,1,2,NA,NA,NA
