entidad_a,orgapoli_b,orgapoli_c,sexostt,sexos1,sexos2
10,1,3,NA,NA,NA
10,1,4,NA,NA,NA
10,1,5,NA,NA,NA
10,2,6,NA,NA,NA
10,2,7,NA,NA,NA
10,3,8,NA,NA,NA
11,1,1,NA,NA,NA
11,1,2,NA,NA,NA
11,1,3,NA,NA,NA
11,1,4,NA,NA,NA
11,1,5,NA,NA,NA
11,2,6,NA,NA,NA
11,2,7,NA,NA,NA
11,3,8,NA,NA,NA
12,1,1,NA,NA,NA
12,1,2,NA,NA,NA
12,1,3,NA,NA,NA
12,1,4,NA,NA,NA
12,1,5,NA,NA,NA
12,2,6,NA,NA,NA
12,2,7,NA,NA,NA
12,3,8,NA,NA,NA
13,1,1,NA,NA,NA
13,1,2,NA,NA,NA
13,1,3,NA,NA,NA
13,1,4,NA,NA,NA
13,1,5,NA,NA,NA
13,2,6,NA,NA,NA
13,2,7,NA,NA,NA
13,3,8,NA,NA,NA
14,1,1,NA,NA,NA
14,1,2,NA,NA,NA
14,1,3,NA,NA,NA
14,1,4,NA,NA,NA
14,1,5,NA,NA,NA
14,2,6,NA,NA,NA
14,2,7,NA,NA,NA
14,3,8,NA,NA,NA
15,1,1,1,1,0
15,1,2,0,0,0
15,1,3,0,0,0
15,1,4,0,0,0
15,1,5,NA,NA,NA
15,2,6,0,0,0
15,2,7,0,0,0
15,3,8,0,0,0
16,1,1,NA,NA,NA
16,1,2,NA,NA,NA
16,1,3,NA,NA,NA
16,1,4,NA,NA,NA
16,1,5,NA,NA,NA
16,2,6,NA,NA,NA
16,2,7,NA,NA,NA
16,3,8,NA,NA,NA
17,1,1,NA,NA,NA
17,1,2,NA,NA,NA
17,1,3,NA,NA,NA
17,1,4,NA,NA,NA
17,1,5,NA,NA,NA
17,2,6,NA,NA,NA
17,2,7,NA,NA,NA
17,3,8,NA,NA,NA
18,1,1,NA,NA,NA
18,1,2,NA,NA,NA
18,1,3,NA,NA,NA
18,1,4,NA,NA,NA
18,1,5,NA,NA,NA
18,2,6,NA,NA,NA
18,2,7,NA,NA,NA
18,3,8,NA,NA,NA
19,1,1,1,1,0
19,1,2,0,0,0
19,1,3,0,0,0
19,1,4,0,0,0
19,1,5,0,0,0
19,2,6,0,0,0
19,2,7,0,0,0
19,3,8,0,0,0
20,1,1,NA,NA,NA
20,1,2,NA,NA,NA
20,1,3,NA,NA,NA
20,1,4,NA,NA,NA
20,1,5,NA,NA,NA
20,2,6,NA,NA,NA
20,2,7,NA,NA,NA
20,3,8,NA,NA,NA
21,1,1,NA,NA,NA
21,1,2,NA,NA,NA
21,1,3,NA,NA,NA
21,1,4,NA,NA,NA
21,1,5,NA,NA,NA
21,2,6,NA,NA,NA
21,2,7,NA,NA,NA
21,3,8,NA,NA,NA
22,1,1,NA,NA,NA
22,1,2,NA,NA,NA
22,1,3,NA,NA,NA
22,1,4,NA,NA,NA
22,1,5,NA,NA,NA
22,2,6,NA,NA,NA
22,2,7,NA,NA,NA
22,3,8,NA,NA,NA
23,1,1,NA,NA,NA
23,1,2,NA,NA,NA
23,1,3,NA,NA,NA
23,1,4,NA,NA,NA
23,1,5,NA,NA,NA
23,2,6,NA,NA,NA
23,2,7,NA,NA,NA
23,3,8,NA,NA,NA
24,1,1,NA,NA,NA
24,1,2,NA,NA,NA
24,1,3,NA,NA,NA
24,1,4,NA,NA,NA
24,1,5,NA,NA,NA
24,2,6,NA,NA,NA
24,2,7,NA,NA,NA
24,3,8,NA,NA,NA
25,1,1,0,0,0
25,1,2,0,0,0
25,1,3,1,1,0
25,1,4,0,0,0
25,1,5,NA,NA,NA
25,2,6,0,0,0
25,2,7,0,0,0
25,3,8,0,0,0
26,1,1,NA,NA,NA
26,1,2,NA,NA,NA
26,1,3,NA,NA,NA
26,1,4,NA,NA,NA
26,1,5,NA,NA,NA
26,2,6,NA,NA,NA
26,2,7,NA,NA,NA
26,3,8,NA,NA,NA
27,1,1,NA,NA,NA
27,1,2,NA,NA,NA
27,1,3,NA,NA,NA
27,1,4,NA,NA,NA
27,1,5,NA,NA,NA
27,2,6,NA,NA,NA
27,2,7,NA,NA,NA
27,3,8,NA,NA,NA
28,1,1,NA,NA,NA
28,1,2,NA,NA,NA
28,1,3,NA,NA,NA
28,1,4,NA,NA,NA
28,1,5,NA,NA,NA
28,2,6,NA,NA,NA
28,2,7,NA,NA,NA
28,3,8,NA,NA,NA
29,1,1,NA,NA,NA
29,1,2,NA,NA,NA
29,1,3,NA,NA,NA
29,1,4,NA,NA,NA
29,1,5,NA,NA,NA
29,2,6,NA,NA,NA
29,2,7,NA,NA,NA
29,3,8,NA,NA,NA
30,1,1,NA,NA,NA
30,1,2,NA,NA,NA
30,1,3,NA,NA,NA
30,1,4,NA,NA,NA
30,1,5,NA,NA,NA
30,2,6,NA,NA,NA
30,2,7,NA,NA,NA
30,3,8,NA,NA,NA
31,1,1,NA,NA,NA
31,1,2,NA,NA,NA
31,1,3,NA,NA,NA
31,1,4,NA,NA,NA
31,1,5,NA,NA,NA
31,2,6,NA,NA,NA
31,2,7,NA,NA,NA
31,3,8,NA,NA,NA
32,1,1,NA,NA,NA
32,1,2,NA,NA,NA
32,1,3,NA,NA,NA
32,1,4,NA,NA,NA
32,1,5,NA,NA,NA
32,2,6,NA,NA,NA
32,2,7,NA,NA,NA
32,3,8,NA,NA,NA
