entidad_a,cafallec_c,orgpoltt,orgpol1,orgpol2,orgpol3,orgpol4,orgpol5,orgpol6,orgpol7,orgpol8,orgpol9,orgpol10,orgpol11,orgpol12,orgpol13,orgpol14,orgpol15,orgpol16,orgpol17,orgpol18
30,400,72,63,9,28,5,17,1,0,0,NA,NA,NA,NA,0,1,18,2,0,0
30,500,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
30,600,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
30,9999,,,,,,,,,,,,,,,,,,,
31,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,199,,,,,,,,,,,,,,,,,,,
31,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,400,28,27,1,22,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
31,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,9999,,,,,,,,,,,,,,,,,,,
32,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,199,,,,,,,,,,,,,,,,,,,
32,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,400,16,16,0,5,0,4,0,0,0,0,0,6,0,0,0,1,0,0,0
32,500,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,9999,,,,,,,,,,,,,,,,,,,
